Nama;Address;Type;Class;District;Province;Hospital
RS Mata Jkt Eye Centre;Jl. Teuku Cik Ditiro 46 Jakpus;D;B Uta;Kota Jakarta Pusat;DKI Jakarta;rs
RS MMC;Jl. H R. Rasuna Said No.21,Jaksel;A;A;Kota Jakarta Selatan;DKI Jakarta;rs
RSU Dr. Cipto Mangunkusumo (RSCM);Jl. Diponegoro 71 Jakarta Pusat;A;A;Jakarta Pusat;DKI Jakarta;rs
RSIA Evasari;Jl. Rawamangun No. 47 Jakpus;RSK Ibu & Anak;Khusu;Kota Jakarta Selatan;DKI Jakarta;rs
RS Mitra Kemayoran;Jl. Landas Pacu Timur Kemayoran;A;B;Kota Jakarta Utara;DKI Jakarta;rs
RSB Yayasan Restu;Jl. Raya Bogor Jakarta Timur;Ibu dan Anak;C;Jakarta Timur;DKI Jakarta;rs
RS Omni Medical Center;Jl. Pulomas Barat VI/20,Jaktim;A;B;Jakarta Timur;DKI Jakarta;rs
RS Medika Griya;Jl. Danau Sunter Utara Jakut;A;C;Jakarta Utara;DKI Jakarta;rs
RS Islam Jakarta Timur;Jl. Raya Pondok Kopi Jakarta Timur;A;c;Jakarta Timur;DKI Jakarta;rs
RS Siloam Graha Medika;Jl. Perjuangan Raya Kav.8 Jakarta Barat;A;B;Jakarta Barat;DKI Jakarta;rs
RS Sukmul;Jl. Tawes No.18-20 Jakarta Utara;A;C;Jakarta Utara;DKI Jakarta;rs
RS Sint Carolus;Jl. Salemba Raya No.41 Jakarta Pusat;A;B;Jakarta Pusat;DKI Jakarta;rs
RS Islam Jakarta Cempaka Putih;Jl. Cempaka Putih Tengah I Jakarta Pusat;A;B;Jakarta Pusat;DKI Jakarta;rs
RS Keluarga Afi;Jl. Kalipasir No.9 Jakarta Pusat;A;D;Jakarta Pusat;DKI Jakarta;rs
RSUD Koja;Jl. Deli No.4 Tanjung Priok,Jakut;A;B;Jakarta Utara;DKI Jakarta;rs
RS Mitra Internasional;Jl. Jatinegara Timur No.85A-87,Jaktim;A;B;Jakarta Timur;DKI Jakarta;rs
RS Harapan Bunda;Jl. Raya Bogor Km.22 No.44 Jaktim;A;C;Jakarta Timur;DKI Jakarta;rs
RSJ Dr Soeharto Heerjan Jakarta;Jl. Prof.Dr.Latumeten No. 1 Jakbar;B;A;Jakarta Barat;DKI Jakarta;rs
RS Jantung & Pembuluh Darah H K;Jl. S. Parman Kav 87 Jakbar;L;A;Jakarta Barat;DKI Jakarta;rs
RSUD Cengkareng;Dra. Khafifah Any,Apt,MARS;A;B;PemPro DKI Jakarta;DKI Jakarta;rs
RS AL Cilandak;Jl. Raya Cilandak,Jaksel;A;3;Jakarta Selatan;DKI Jakarta;rs
RS Pusdikkes;Jl. Raya Bogor,Jakarta Timur;A;4;Jakarta Timur;DKI Jakarta;rs
RS Halim Perdana Kusuma;Jl. Merpati No. 2 Halim Perdana Kusuma, Jakarta;A;2;Jakarta Timur;DKI Jakarta;rs
RS Kepolisian Pusat;Kramat Jati,Jakarta Timur;A;2;Jakarta Timur;DKI Jakarta;rs
Rumkit Tk IV Cijantung;Jl. Mahoni Pasar Rebo,Jaktim;A;4;Jakarta Timur;DKI Jakarta;rs
RSU Pasar Rebo;Jl. TB Simatupang No.30,Jaktim;A;B;Jakarta Timur;DKI Jakarta;rs
RSIA Hermina;Jl. Jatinegara Barat 126,Jaktim;O;B;Jakarta Timur;DKI Jakarta;rs
RS Yadika;Jl. P.Revolusi No.47 Pondok Bambu Jaktim;A;C;Jakarta Timur;DKI Jakarta;rs
RSU Haji Jakarta;Jl. Raya Pondok Gede Jaktim;A;C;Jakarta Timur;DKI Jakarta;rs
RS Jiwa Duren Sawit;Jl. Duren Sawit Baru Jakarta Timur;B;A;Jakarta Timur;DKI Jakarta;rs
RS PAD Gatot Soebroto;Jl. Dr A Rahman Saleh No. 24 Jakarta Pusat;A;1;Jakarta Pusat;DKI Jakarta;rs
RS AL Dr Mintoharjo;Jl. Bendungan Hilir 17 Jakpus;A;2;Jakarta Pusat;DKI Jakarta;rs
RSU Tarakan;Jl. Kyai Caringin Jakarta Pusat;A;B;Jakarta Pusat;DKI Jakarta;rs
RS Jiwa Mita Menteng Abadi;Jl. Kalipasir No.9 Jakarta Pusat;B;D;Jakarta Pusat;DKI Jakarta;rs
RSGM FKG Univ.Indonesia;Jl. Salemba Raya No. 4 Jakpus;T;A;Jakarta Pusat;DKI Jakarta;rs
RSIA Family;Jl. Pluit Mas I Blok A Jakut;O;C;Jakarta Utara;DKI Jakarta;rs
RS Mulyasari;Jl. Raya Plumpung Semper No.19 RT.006/RW.015, Jakarta Utara;A;0;JAKARTA UTARA;DKI Jakarta;rs
RSU Amlapura;Jl. Ngurah Rai - Amlapura;A;C;Karang Asem;Bali;rs
RS Karya Dharma Husada;Jl. Yudistra No. 7 Singaraja;A;C;Buleleng;Bali;rs
RSUD Wangaya;Jl. Kartini No.133 Denpasar;A;B;Kota Denpasar;Bali;rs
RSUD Kab. Buleleng;Jl. Ngurah Rai 30 Singaraja;A;B;Buleleng;Bali;rs
RSU Surya Husadha;Jl. Pulau Serangan No.7, Denpasar;A;C;Denpasar;Bali;rs
RSU Dr GelGel;Jl. Mawar No. 76 Tabanan;A;D;Tabanan;Bali;rs
RSU Negara;Jl. Wijaya Kusuma 17 Negara;A;C;Jembrana;Bali;rs
RSUD Sanjiwani Gianyar;Jl. Ciung Wenara No.2 Gianyar;A;B;Gianyar;Bali;rs
RSUD Badung;Jl. Raya Kapal Mengwi, Badung;A;D;Badung;Bali;rs
RSU Tabanan;Jl. Pahlawan No. 14 Tabanan;A;B;Tabanan;Bali;rs
RSU. Dharma Yadnya;Jl. WR.Supratman 256,Denpasar;A;D;Denpasar;Bali;rs
RSU Premagana;Jl. Hyang Sangsi No.2 Komp.Perumahan Chandra Ayu Br. Tubuh,Batubulan,Sukawati - More ...;A;-;-;Bali;rs
RSU Klungkung;Jl. Flamboyan No. 40 Klungkung;A;C;Klungkung;Bali;rs
RSU Bangli;Jl. Kusuma Yudha No. 27 Bangli;A;C;Bangli;Bali;rs
RS Jiwa Bangli;Jl. Kusuma Yudha No. 29 Bangli;B;A;Bangli;Bali;rs
Rumkit Tk.IV Singaraja;Jl. Ngurah Rai No. 70 Singaraja;A;4;Buleleng;Bali;rs
RSUP Sanglah Denpasar;Jl. Diponegoro Denpasar;A;A;Denpasar;Bali;rs
Rumkit Tk.III Udayana Denpasar;Jl. P.B Sudirman No.1 Denpasar;A;3;Denpasar;Bali;rs
RS Paru Dr. H.A. Rotinsulu Bandung;Jl. Bukit Jarian No. 40 Bandung;F;A;Kota Bandung;Jawa Barat;rs
RS Jiwa Hurip Waluya;Jl. Karang Tineung No.1A Bandung;B;C;Kota Bandung;Jawa Barat;rs
RS PKU Muhammadiyah;Jl. Raya Kedu Km.2,Temanggung;A;C;Temanggung;Jawa Tengah;rs
RSUD Kab. Batang;Jl. Dr Sutomo No. 42,Batang;A;C;Batang;Jawa Tengah;rs
RSUD Kajen Kab.Pekalongan;Jl. Raya Karangsari Karanganyar;A;C;Pekalongan;Jawa Tengah;rs
RSUD Bendan Kota Pekalongan;Jl. Sriwijaya No.2,Pekalongan;A;D;Pekalongan;Jawa Tengah;rs
RSU Brebes;Jl. Jend.Sudirman No.181,Brebes;A;C;Brebes;Jawa Tengah;rs
RS SELARAS;Jl. Raya Lapan Rumpin Suradita;A;D;Tangerang;Banten;rs
RSIA Tiara;Jl. Raya serang KM 14.5 No.1;C;-;Tangerang;Banten;rs
RS Islam Sari Asih Ar-rahmah;Jl. K.S Tubun No.44 Koang Jaya;A;D;Kota Tangerang;Banten;rs
RS Mayapada;Jl. Honoris Raya Kav.6 Tangerang;A;C+;Kota Tangerang;Banten;rs
RS Q a d r;Komp Islamic Village Curug Tangerang;A;C;Tangerang;Banten;rs
RSIA An-Nisa Tangerang;Jl. Gatot Subroto 96 Tangerang;O;C;Kota Tangerang;Banten;rs
RSB Sayang Ibu Balikpapan;Jl. Wain No.33,Kebun Sayur,Balikpapan;C;B;Balikpapan;Kalimantan Timur;rs
RSUD H A Wahab Sjahranie;Jl. Dr. Soetomo, Samarinda;A;B;Samarinda;Kalimantan Timur;rs
RS Dim 0901 Samarinda;Jl. Jen Sudirman Samarinda;A;4;Samarinda;Kalimantan Timur;rs
RSUD Inche Abdoel Moeis;Jl. A.M.Rifaddin Kel,Harapan Baru Samarinda Seberang;A;C;Samarinda;Kalimantan Timur;rs
RSAL Ilyas Tarakan;Jl. Jen Sudirman Tarakan;A;3;Tarakan;Kalimantan Timur;rs
RSU Kab. Karimun;Jl. Soekarno - Hatta, Tg Balai Karimun;A;C;Karimun;Kepulauan Riau;rs
RS Jiwa Makassar;Jl. L Pasewang No. 34 Makassar;B;A;Makassar;Sulawesi Selatan;rs
RS Jiwa Dr. Radjiman Wediodiningrat;Jl. Jen. A.Yani Lawang;RS Khusus;A;Malang;Jawa Timur;rs
RSUD Dr Soegiri Lamongan;Jl. Kusumabangsa 7 Lamongan;A;B;Lamongan;Jawa Timur;rs
RSU Dr. Saiful Anwar;Jl. Jaksa Agung Suprapto No.2 Malang;A;A;Kota Malang;Jawa Timur;rs
RSU Dr. R. Soetrasno Rembang;Jl. Pahlawan No.16,Rembang;A;C;Rembang;Jawa Tengah;rs
RSU Tidar;Jl. Tidar No.30 A, Magelang;A;B;Kota Magelang;Jawa Tengah;rs
RS St. Elisabeth Semarang;Jl. Kawi No.1,Semarang;A;B;Kota Semarang;Jawa Tengah;rs
RSB Permata Bunda;Jl. Hayam Wuruk No. 24,Grobogan;C;C;Grobogan;Jawa Tengah;rs
RSB Gunung Sawo II;Jl. Gatot Subroto Manding Temanggung;C;C;Temanggung;Jawa Tengah;rs
Rumkit Tk III Wijayakusuma;Jl. Prof.Dr. HR Bunyamin Purwokerto;A;3;Banyumas;Jawa Tengah;rs
RS. Maguan Husada;Jl. Raya Praci-gribelah Km.6 Suci, Pracimantoro;A;D;Wonogiri;Jawa Tengah;rs
RSK Bedah Diponegoro;Jl. Diponegoro No.21,Klaten;K;B;Klaten;Jawa Tengah;rs
RSUD Tugurejo Semarang;Jl. Raya Tugurejo,Semarang;A;B;Kota Semarang;Jawa Tengah;rs
RSU Roemani;Jl. Wonodri 2 No. 22,Semarang;A;C;Kota Semarang;Jawa Tengah;rs
RS Islam Klaten;Jl. Raya Klaten Solo KM 4,Klaten;A;B;Klaten;Jawa Tengah;rs
RSIA Sarila Husada;Jl. Veteran No. 41-43,Sragen;RS Ibu&Anak;Khusu;Sragen;Jawa Tengah;rs
RS Dr.Oen;Jl. Brigjend Katamso 55,Surakarta;A;B;Kota Surakarta;Jawa Tengah;rs
RSU Pambalah Batung;Jl. Basuki Rahmat No. 1 Amuntai;A;C;Hulu Sungai Utara;Kalimantan Selatan;rs
RSUD Kotabaru;Jl. H Hasan Basri No.57, Kotabaru;A;C;Kotabaru;Kalimantan Selatan;rs
RSUD Ratu Zalecha;Jl. A Yani Km 00100 Martapura;A;C;Banjar;Kalimantan Selatan;rs
RSU Datu Sanggul Rantau;Jl. Brigjen H Basri Rantau;A;C;Tapin;Kalimantan Selatan;rs
RSU Brigjen H Hasan Basry;Jl. Jend Sudirman Kandangan;A;C;Hulu Sungai Selatan;Kalimantan Selatan;rs
RS Rem 101 Kandangan;Jl. Gambah Dalam Kandangan;A;4;Hulu Sungai Selatan;Kalimantan Selatan;rs
RSUD H Damanhuri Barabai;Jl. Murakata No. 4 Barabai;A;C;Hulu Sungai Tengah;Kalimantan Selatan;rs
RSUD H. Badaruddin/Tanjung;Jl. J A Suprapto Tanjung;A;C;Tabalong;Kalimantan Selatan;rs
